comments,star
"Harga:Ekonomis Efektivitas:Sangat bermanfaat trapi/pengharum ruangan Wangi:Bagus Orderan produk/barang berupa 2 buah Alat humidifier (alat trapi/pengharum ruangan) sudah sampai bosku.... Begitu pula packing pengiriman barang luar biasa... Aman dari hal² tidak diinginkan konsumen. Sekali lagi, mantap and terima kasih. ",5
"Wangi:menenangkan Harga:murmer Pesan kmrn, hari ini sampe. Seller gercep dan ramah. Dg sabar jawab pertanyaan2 pembeli. Produk berfungsi dg sangat baik, tidak ada yg kurang, tidak ada yg rusak. Terimakasih seller. Pembeli puas bakal jd langganan.",5
"Harga:Terjangkau Wangi:Enak di Hidung, bikin tenang Efektivitas:Sangat nyaman apalagi bila ada AC wkwkwk Terimakasih bos paket aman dan bisa di gunakan dengan baik",5
"Performa:baik dan oke Kualitas:mantap Wangi:lumayan lahhh Keren barang sudah mendarat dengan aman kurir ramah pengiriman cepat , barang nga bagus lucu akeh lampune wkwk",5
"Performa:bagus Kualitas:bodynya plolycarbonate, sudah sangat bagus Wangi:wanginya ya tergantung cairan esensialnya, hahaha",5
"Performa:baik Kualitas:bagus Wangi:wangi Berfungsi sangat baik,pengunaan saat mudah dan tidak ribet Wanginya banget adem Toplah digunakan, semoga awet dan bakal jadi langanan",5
Wangi:harum lembut Efektivitas:baik Harga:murah Keren Efektif Murah Simpel Harum Ringan,5
"Performa:bagus Kualitas:mewaaaah Wangi:wangi nya soft yg jasmin yg lemon seger Barang real pict berfungsi dngan baik,wangi nya enak jasmin dam lemon pngiriman cape lovveeeee deh semoga awet brngnya",5
"Wangi:sesuai dengan oil yg dipake Efektivitas:uap nya oke Harga:oke produknya bagus, tampilannya cakep, mudah dipergunakannya jg, packing rapih dan aman, warnanya jg bervariatif",5
"Performa:sangat baik Kualitas:sangat baik Packingnya rapi dan aman, pakai kardus dan bubble wrap luar dalam. Kualitas produk sangat baik dengan Kecepatan pengiriman nya sangat memuaskan, cuma 6 hari . Well, gk nyesal belanja disini. Semoga seller tetap amanah yaa..",5
"Harga:Murah tidak Murahan Efektivitas:Sesuai dengan estimasi Wangi:Sesuai dengan gambar Barangnya bagus, dipacking dengan aman, pengiriman sesuai dengan estimasi. Sukses terua buat seller.",5
"Performa:bagus Kualitas:bagus Wangi:klo di pakein oil wangi Nice bgt pokoknya. Real pic, packing aman dan rapih, pengiriman cepat, respon sellernya baik . Best lah pokoknya",5
"Wangi:tahan lama Harga:terjangkau Barang cepat datang. Packaging aman dan rapi, seneng akhirnya punya juga. Cocok banget buat relaksasi. Thank you seller",5
"Pengiriman cepat, packaging rapi dan aman. Berfungsi dengan baik, asap yg dikeluarkan kenceng, remote berfungsi dengan baik",5
Wangi:banget Efektivitas:nyaman Harga:murah Mantap barang y poko e mantap,5
"Harga:muraaahhh Efektivitas:pas Wangi: pas pas buat kalian buat estetic di kamar tidur , pas menemani tidur malam hari , wangi juga pas",5
