comments,star
"Alhamdulillah barang nyampe dgn selamat. Pengemasan dan pengiriman aman dan cepat. Barangnya berjalan dgn baik..smg awett. Terima kasih Covenant, SiCepat en Shopee. Smg berkah, sehat dan sukses terus ",5
Qodarullah sampai dg selamat Barang aman banget Berfungsi dg sangat baik G bising juga InsyaAllah rekomen. Semoga awet ya seller. Kazak Allah khoir seller Semoga amanah terus. Aamiin,5
"Fitur Terbaik:bagus Sepadan dengan Harga:bagus Packaging ok,cepet pula datengnya",5
Fitur Terbaik:all in Sepadan dengan Harga:worth it Setelah baca2 riview sana sini akhirnya memutuskan untuk beli brand ini dengan fungsi dan features yg bisa ruangan kurleb sampai 50meter area rumah. Semoga selalu awet purifier ini demi kenyamanan keluarga dirumah dapat udara bagus! Recommended brand recommended seller ,5
"Fitur Terbaik:pas Sepadan dengan Harga:pas Alhamdulillah paket dateng ga lama , harga pas sesuai fungsi, karena untuk kado jadi ga dibuka plastiknya , semoga aman sampe nanti dikasihin ke orangnya . Trimaksih seller",5
"Fitur Terbaik:penggunaan baik Sepadan dengan Harga:good Berfungsi dengan baik, suaranya juga ga berisik, pemasangan filter mudah, packingan rapih,",5
Barang bagus. Barang sesuai pesanan. Barang cepat sampai. Cukup puas,5
"Sepadan dengan Harga:ok lah barang sampai tnp rusak. Ga terlalu berat koq, bawa sendiri, unbox sendiri dgn mudah.. tinggal belajar arti2 di layar ini & YG PALING PENTING SEMOGA AWET dan berfungsi ",5
"Sudah diterima air purifiernya, ternyata cukup tinggi bentuknya. Untuk packagingnya aman dan pengantarannya cepat banget H+1 sudah langsung diantar. Untuk fungsi, berjalan sesuai fungsi, kalau ada wewangian atau bau yang nusuk langsung air qualitynya jelek. Terima kasih seller",5
"Fitur Terbaik:bagusss Pengiriman cepeett, admin baikkk, udah dicoba beberapa hari jadi lebih enak ruangannya beda, lebih sejukkk, ga nyesel beli, makasih ",5
"Fitur Terbaik:All Sepadan dengan Harga:Iya Harga murah, kualitas baik, Respon cepet. Baru beli 1x di toko ini. Semoga berlangganan ya  sehat dan sukses selalu ",5
Pengemasan pengiriman cepat. Barang oke no cacat Semoga awet Terimakasih,5
"Bagus, pengemasan & pengiriman cepat, produk berfungsi dengan semestinya. Semoga awet ya, terima kasih seller",5
"Produk nya bagus , sesuai harga.. Tapi pas buka nya susah,untung liat di YouTube jd bisa  Pengiriman'nya lewat kargo tp nympe rumah dibawa pake motor cm takut aja barang'nya jatoh & rusak Selebihnya bagus Alhamdulillah..",5
"Air purifiernya sudah sampai dengan selamat, sudah di coba dan berjalan dengan baik.. cuma buat bukanya agak susah tp sudah tanya ke sellernya dan dijawab dengan baik. Terimakasiih...",5
"Udara jd lumayan sejuk .. Sayangnya dpt barang yg bagian tombolnya kurang rata, jd kyk bukan produk mahal, lain kali ditingkatkan QC nya",4
Berfungsi dengan baik mudah mudahan awet dan udara yang dihasilkan jadi bersih ruangan jadi seger,4
"Sesuai deskripsi, pengiriman cepat, packing juga aman. Thanks seller",5
Fitur Terbaik:ok Sepadan dengan Harga:ok Mudah2 an ok,5
Berfungsi dengan benar produk sesuai dengan harga dak ad bising....belum dcoba ada asap bisa bnran apa tidak....kecepatan pengiriman bagus,4
Membantu bangetttttt! Makasih banyak kak! Pengiriman cepat. Barang oke banget! Sirkulasi udara jg enak! Top!,5
"Fitur Terbaik:Berfungsi dengan baik Sepadan dengan Harga:ada harga ada kualitas. Alhamdulillah paketnya sudah sampai, dan sudah coba pemakaian sehari semalam, dan hasilnya sangat di rekomendasikan banget buat yang butuh udara sehat dalam lingkungan rumah.. Mudah2n awet yaA untuk produk ini...a Terimakasih juga untuk respon penjualnya, ramah dan pengirimannya cepat 2 jam sampe",5
"Berfungsi dgn baik, packing rapi, pengiriman cepat, respon seller cepat & baik",5
Barang diterima dalam kondisi baik..pengiriman sangat cepat..terimakasih …,5
Fitur Terbaik:fitur mantab Sepadan dengan Harga:ya Mantab. Barang berfungsi dengan baik. Bangun pagi jadi lebih segar.,5
Fitur Terbaik:berfungsi dgn baik Sangat amanah tokonya. Barang berfungsi dgn baik,5
Fitur Terbaik:praktis & minimalis Sepadan dengan Harga:relatif terjangkau,5
"Lumayan harga murah untuk sekelas air purifier, cuma minta yg motif malah dikirim polos",4
"Barang berfungsi dengan baik, suara gak berisik, ada mode timernya juga, semoga awet",5
Terimakasih barangnya bagus saya puas next order lagi saya,5
Fitur Terbaik:baguss bgt.. bkin udara jd lebih bersih dan sehat Sepadan dengan Harga:murah dibanding merk yg lain Recommended bgt deh.. admin jg gercep jwb prtnyaan qta ,5
"Fitur Terbaik:baik Sepadan dengan Harga:murah Pengiriman cepat, barang ori, murah tapi bagus banget. Belum di coba semoga awet.",5
"Fitur Terbaik:baik Sepadan dengan Harga:baik Dengan harga yang cukup terjangkau, kualitas cukup baik",5
Fitur Terbaik:touchscreen Sepadan dengan Harga:belum tau Pake instant cepet sampe Belum tau soalnya belum dicoba semaleman Btw semoga bisa ngilangin bau apek kamar tidur Tapi sayang banget colokannya miring atau penyok gitu udah ditarik biar lurus cuman takut aja soalnya miring gitu colokannya ada difoto Walau begitu berfungsi dengan baiksih semoga aja gpp ya dan awet,5
"Untuk harga segini lumayan juga, udara jadi tambah seger, semoga kualitas udara di rumah jadi lebih baik",5
Mau pesan lagi mudah2an pengiriman cepet lagi.makasih banyak bantuannya,5
"Materialnya plastik yg ringan tapi kokoh dan ngga ringkih. Kalo fannya di mode yg paling kecil, suaranya nyaris tidak terdengar. Lebih besar suara young living saya saat dinyalakan di mode high. Pas bgt di kmr sy yg lumayan lembab dan tidak luas. Baru hari ke dua pemakaian. Semoga awet Sellernya komunikatif. Pengiriman lumayan cepat. Terimakasih",4
"Fitur Terbaik:LENGKAP Sepadan dengan Harga:SANGAT Alhamdulillah seller ramah, packingan cepat aman, pemakaian semalam ini sudah mulai terasa. Semoga bisa awet terus dan bisa dipakai juga bermanfaat puluhan tahun ",5
Barang sudah sampai dengan baik.. barang berfungsi dan penjual memberi keterangan yg bagus.. terima kasih..,5
Berfungsi dengan baik.... Pengiriman sangat cepat.... Suka...suka....,5
Liat dr specs nya si bgsan ini drpd yg satunya seri 05. Karna jangkauan udara nya. Tp ga paham ni beda nya sm udara di ruangan stlh pake apa ya. Apa karna sy gada alergi ya jd ga gt kerasa. Tapi ruangan emang jd lbh enak aja gt,5
"Fitur Terbaik:bagus.. beli 10 pcs semoga berfungsi dengan baik, yaa  Sepadan dengan Harga:ada harga ada rupa  Seller baik & respon..",5
"Fitur Terbaik:mantap sangat membantu Sepadan dengan Harga:harga lbih murah dg kualitas lbh bagus, dg fitur yg lengkap daripada merek sebelah.",5
Sepadan dengan Harga:worth it Fitur Terbaik:keadaan kualitas udara terlihat,5
Barang cepat sampai dan respon penjual sangat cepat ,5
Fitur Terbaik:Baik Sepadan dengan Harga:Ya Barang sesuai pesanan. Mantul (mantap betul).,5
Fitur Terbaik:pembersih udara Sepadan dengan Harga:entah Semoga alergi saya dan sesak napas saya nggak kambuh2 lagi. Cuma syg kabelnya pendek bangett. Semeter setengah paling sedang colokan sy diatas semua ,5
"Barang berfungsi dgn baik, udara di ruangan jadi segar.",5
Fitur Terbaik:ada sedikit cacat lecet Sepadan dengan Harga:agak mahal sedikit Untuk saat ini untuk udara yg agak strong tidak terfilter sempurna...kalau hanya debu kamar yg biasa saja ..masih efektif alat ini,4
"Bagus, berfungsi dengan baik. Agak berisik kalo dipasang di speed yg palo Ing tinggi. Mudah2an awet ya.",5
"Fitur Terbaik:baik Sepadan dengan Harga:ok Kualitas oke, packing oke, pengiriman oke, cakep. Tq",5
"Fitur Terbaik:lengkap dan mudah pengoperasiannya, sparepart tersedia juga.. moga awet",5
Fitur Terbaik:baguss Sepadan dengan Harga:terjangkau,5
"barangnya udah sampe. cepet bgt sampenya.. btw, sampingnya agak terbuka keliatan kabelnya nih..mohon kedepannya agar lebih diperhatikan lagi ya",4
Semoga awettt pengiriman cepat thankyou seller,5
Fitur Terbaik:baik bagus,5
"Maaf vidio gk nyambung karena vidio aslinta terlalu panjang...barang bagus,tidak berisik,seller juga ramah.",5
Alhamdulillah barang telah sampai pengiriman sangat cepat respon penjual sangat baik semoga bermanfaat n awet,5
Fitur Terbaik:bagus. berfungsi semua Sepadan dengan Harga:oke la,5
Fitur Terbaik:barang beroperasi dengan baik Sepadan dengan Harga:sangat,5
semoga bermanfaat untuk kado temen kantor nikahh,5
"Alat berfungsi, semoga benar kamar jadi bebas debu dan ada ion nya. Mau pesan satu lagi untuk kado ultah",5
Fitur Terbaik:semoga awet Lumayan,5
"Brg ok, seller jg oke, remote udh di ganti sm seller tp tetep ga bs, otomatia manual.:",5
Sepadan dengan Harga:sepadan banget Fitur Terbaik:keren udara di kamar jd bersih & semoga awet barang nya..thanks,5
Mantap produknya bagus. Sesuai dengan pesanan. Semangat ya semoga semakin jaya.,5
"Gillllaaaa, sehari sampaiii... Makasih, produk baguss sesuai dgn harga",5
"Walopun sampe kalimantan, barangnya nyampe dgn aman, dh di cb smua nya berfungsi. Mksi seller",5
"Batuk anakku jadi hilang, debu jadi berkurang semoga tetep awer dan bagus thanks seller",5
"Barang okey, tidak cacat sama sekali",5
Produk berkualitas harga undervalued.,5
