comments,star
"Fitur Terbaik:Terhubung dg smartphone xiaomi Sepadan dengan Harga:Ya Kondisi produk baru, berfungsi dg baik, bisa terhubung dg smartphone xiaomi. Jangan ragu beli produk secara online di official store",5
Fitur Terbaik:Baik Sepadan dengan Harga:Standart Paketnya udh di terima dalam keadaan baik dan fiturnya semua berfungsi dengan baik. Terima kasih,5
Fitur Terbaik:bagus Sepadan dengan Harga:ya Barang sudah diterima dengan baik Terimakasih,4
"Fitur Terbaik:childlock Sepadan dengan Harga:sesuai Packingnya aman banget, barang ok, semoga awet dan bisa meredakan alergi anak. Trims",5
"Fitur Terbaik:bagus Sepadan dengan Harga:sangat sepadan Gk menyesal beli produk ini Bagus fitur ny mudah d gunakan dan sesuai dgn manfaat ny, minus ny cm lama pengiriman ny",5
Di rumah punya banyak kucing banyak bulu yang rontok kecil terhisap.,5
"Fitur Terbaik:membersihkan debu, partikel2 kecil yg bikin alergi Sepadan dengan Harga:muahal tapi butuh  Ku kira kecil, ternyata lumayan gede. Sementara di uji coba, semoga awet yaaa .. Kamar cpt bgt berdebu, trus mau ada baby semoga bermanfaat untuk jangka panjang. Thank you untul bapak kurir dan admin yg sudah membantu sampai barang tiba dengan selamat ",5
"Fitur Terbaik:childlok Barang diterima dengan aman dan selamat alat berfungsi dgn baik, beneran biasa buat udara kerasa bersih seger",5
"Fitur Terbaik:pembersih udara Sepadan dengan Harga:iya Pesan Pagi, malam barang nya sampai, respon cepat, kualitas barang bagus, berfungsi dengan normal, bagus, terima kasih",5
"Fitur Terbaik:air purifier Sepadan dengan Harga:lumayan Packaging-nya mengecewakan sekali ya. Pengiriman ke luar pulau, jangankan packing kayu atau buble wrap, segel plastik aja ga ada. Itu kalau kurirnya ga bener bisa dibuka bebas aja kayaknya. Mana kondisi lagi hujan, kardusnya basah, beberapa sisi penyok. Sudah dites masih berfungsi, semoga awet.",3
"Barang sampai dengan aman, packaging baik, fungsi unit juga normal, sangat memuaskan. Thankuou xiao mi wo ai ni",5
Bagus banget produknya! Sangat membantu buat menjaga kualitas udara di dalam ruangan.,5
"Fitur Terbaik:tampilan layar touchscreen,,,, Sepadan dengan Harga:harga murah tapi mewah, semoga ini bisa membantu untuk anak-anak saya dirumah yg mudah sekali kena flu. Pengiriman 2minggu, lama sekali....",5
Fitur Terbaik:Mudah di pairing dengan wifi Sepadan dengan Harga:Sepadan Kualitas produk baik dan pengemasannya rapih,5
Fitur Terbaik:ok Sepadan dengan Harga:ok Barang smpe dengan selamat alhamdulillah semoga awet dan bertahan lama,5
"Fitur Terbaik:oke Sepadan dengan Harga:lumayan Barang sesuai, cuma pelayanan nya aja lama. CS nya lama banget balesnya, jd pesanan terlambat di pesan. Order sameday jadinya besoknya baru sampe. Padahal SAMEDAY LOH.",5
Fitur Terbaik:real pick sesuai dengan pesanan ruangan jadi segar dan aman. Sepadan dengan Harga:sesuai harga Terimakasih MI Store dan kurir barang berfungsi dengan baik,5
Fitur Terbaik:Bagus banget Sepadan dengan Harga:mantap Semoga bermanfaat dan awet,5
"Sepadan dengan Harga:Worth it Fitur Terbaik:Bisa di atur lewat HP Barang bagus, sesuai harga, pengiriman cepat..",5
Fitur Terbaik:Warna hijaunya bikin komunikasi ke pengguna jadi lebih nyaman Terima kasih semoga awet dan keluarga lebih baik hirup kualitas udara dikamar,5
Fitur Terbaik:Bagus sesuai deskipri Sepadan dengan Harga:Harga masih bisa masuk dengan fitur nya Secara umum bagus meskipun belum bisa conect ke aplikasi xiaomi home.,5
Fitur Terbaik:menetralisir udara yg kotor dengan sangat baik Sepadan dengan Harga:sepadan Bagus banget,5
Fitur Terbaik:baik Tampilan dan fungsi baik. Beguna untuk konfisi kamar yang minim fentilasi,5
