comments,star
"Sepadan dengan Harga:murah berkualitas Fitur Terbaik:the best Thanks gan, barang sudah diterima dgn baik dan berfungsi normal seller ramah bonus filter pula, pengiriman cargonya jg cepet Oke pokoknya semoga debu2 bandel maupun virus yg membuat anak saya bersin trus bisa di terfilter tnpa ampun dg memakai air furifier covenant ini. next tim order kembali gan",5
"Fitur Terbaik:filtrasi udara Sepadan dengan Harga:iya Cepet bgt pengemasanny, pengiriman jg cepat, packing aman gak ada damage, setelah dicoba beneran kerasa udara jd lebih bersih",5
"Barangnya sampe dengan selamat, pengemasan dan pengieoman jg cepet (pake instant) terus jg berfungsi dengan baikkk. touchscreennya oke, remotenya jg oke bs dipake. ada kasih tau suhu ruangan jg. untuk deteksi udara kotor sm engganya jg berfungsi dengannbaik. makasih sellerrr",5
"Fitur Terbaik:membersihkan udara Sepadan dengan Harga:sepadan Produk sesuai dengan yang dipesan, pengemasan dan pengiriman cepat sekali. Packing aman dikasih bubble tebal. Terima kasih",5
"Pengiriman ke jogja aman. pesan minggu, rabu sudah sampai. Penggunaan ga terlalu ribet, tinggal pasang filter lalu colok ke listrik langsung bisa digunakan. Operasi bisa pakai remote, bisa touch tombol di alatnya langsung. Bisa pakai timer, atur speed, dll. Tidak bising. Baru coba jadi belum terasa efek purify nya. Semoga awet dan berguna",5
"Fitur Terbaik:baik Sepadan dengan Harga:sesuai Alhamdulillah barangnya sudah datang,, berfungsi dgn baik, cuma saya blm mengerti fungsi dari tombol nya,, terima kasih shopee dan seller",5
"Fitur Terbaik:good and the bigger Sepadan dengan Harga:kwalitas melebihi harga Terasa sekali, udara langsung terasa segar dan mudah bernafas. Smoga bisa awet dan waktu tidak mengubah kwalitasnya. Ga nyesel beli ini. Dibanding dengan produk lainnya, good banget lah dengan harga yg lebih murah daripada yg lain. Terima kasih",5
Fitur Terbaik:oke berfungsi dengan normal Sepadan dengan Harga:sesuai pasaran Pengiriman cepat .. mesen jam 9 pagi sampai rumah jam 12 siang ,5
"Fitur Terbaik:bagus Sepadan dengan Harga:bagus Bagus barangnya, berfungsi dengan baik, semoga awet dan bisa bekerja sesuai fungsinya, good seller",5
"Sepadan dengan Harga:worth the price Nyampe nya super kilat, d bubble wrap dgn rapih dan yang penting air purifierny berfungsi dengan baik.. Smoga awet ya",5
"Fitur Terbaik:ada pengukur suhu dan bbrp fitur touchsrcreen lainnya Sepadan dengan Harga:sesuai harga Barang cukup bagus, sepertinya plastik bs patah, tp secara umum oke bgt sebagai air purifier, membuat udara jadi jernih dan bersih, semoga awet ya, recommended seller..",5
"Fitur Terbaik:semua Sepadan dengan Harga:pas Pengemasan dan pengiriman cepat, barang bagus berfungsi dengan baik. Semoga awet",5
Fitur Terbaik:langsung bersih Barang datang dan berfungsi dengan baik..cukup efektif...anak2 bersin2 nya langsung berkurang,5
"Fitur Terbaik:oke Sepadan dengan Harga:okee Teball bubble nya okee Pengiriman cepat Order sabtu sampek senin sdjo Semoga berfungsi dgn baik...kebetulan dikamar pada batuk pilek semoga terbantu,mau nanya filternya yg biru bener ngadep depan yaaa",5
Sangat bagus produknya dna original ketika kita mbt turorial lgsg dikirim videonya .. fast respon bgt,5
Fitur Terbaik:baik Sepadan dengan Harga:iya Baru di coba…semoga awet dan sesuai dgn fungsinya.,5
Fitur Terbaik:belum dicoba semoga berfungsi baik Sepadan dengan Harga:Harga bersaing Desain bagus Tipe sesuai yang dipesan Seller cepat respon,5
Fitur Terbaik:okeeey Sepadan dengan Harga:good . lumayan Makasih barang sudah diterima dengan selamat. Packing aman. sangat berguna buat membersihka udara di rumah,5
Fitur Terbaik:ok Sepadan dengan Harga:harga reatif Barangnya sudah sampai semoga awet semuanya nyala dengan baik tidak ada cacat,5
"Produk baik, seller amanah, buyer happy",5
Fitur Terbaik:ok Sepadan dengan Harga:ok Baru dicoba 1hari.. Belom tau hasil nya bagus ga.. Semoga bagus nanti beli lagi.. Makasiii moga garansi nya beneran bisa dipakai jg,5
"Pengemasan cukup aman dan cepat hanya lama di kurirnya aja. Untuk produknya dikirim sesuai gambar, smua berfungsi baik. Semoga awet dan efektif untuk membersihkan udara ditempat saya dari debu dan bulu2 anabul",4
Sepadan dengan Harga:lumayan murah Pengemasan rapih cuman ada yang sobek plastiknya.. Touch screen kebuka..pingiran juga kebuka,3
"Fitur Terbaik:ada sensor dan ion Sepadan dengan Harga:iya Lumayan bagus, udah touchscreen dan ada sensor nya",5
"Barangnya bagus dan berfungsi semua, udara jadi terasa segar",5
"Alhamdulillah, makasih barangnya semoga awet dan ga ada kendala. Fast respon bgt. Baik chat maupun tanya2. Tks",5
"Seller ramah, pengemasan bagus, hrg terjangkau. Cuma waktu pengemasan lumayan lama. Pengiriman cepat Produk berfungsi dengan baik",4
"Fitur Terbaik:oke Sepadan dengan Harga:bagus Paket sampai cepet sehari sampe, pengemasan sangat baik dengan bubble wrap yg tebel, dipake dikamar udara sejuk & segar, ada mode sleep jadi ga berisik tapi tetep membuat ruangan segar. baru ini coba tapi saat dicoba bagus, semoga awet, bahan sangat ringan tapi ga apa2 semoga kualitasnya tetap oke. Terimakasih next mau order lagi untuk di living room.",5
Produk udh dicoba selama satu minggu sejak diterima utk kendala tidak ada produk berfungsi dengan baik sensornya juga berfungsi cuma pas sdh sampe filter yg didalam mesin belakangnya ada yg lepas jd bola carbonnya pd keluar smw tp selebihnya udh oke ,5
remot berfungsi barang tidak ada yang rusak alhamdulillah hujan tapi ga rusak,5
"Fitur Terbaik:baguss Sepadan dengan Harga:harganya terjangkau Pengiriman cepat, kualitas bagus.. pembelian ke 2 utk air purifier nya. Tks seller ",5
Fitur Terbaik:Bagus elegan Sepadan dengan Harga:Lumayan lah Semoga bermanfaat dan awet dan semoga keluargaku sehat selalu,5
"Fitur Terbaik:bagus aja Sepadan dengan Harga:gak mahal moga ga kalah bagus ama yg mahal yaa Barang sampai dalam keadaan sehat walafiat, pengiriman lumayan cepet. Semoga cucok buat bersih2 udara rumah. Insyaallah kl cucok weli lagi buat si honey bear ku.. Thankyou seller",5
Barangnya udah sampai...ga da kerusakan..tapi kok bonus filternya nya ga da ya...kemaren pas chekout free filternya 1 lagi...gimanah nih min,4
Berfungsi dengan baik semoga awet ruangan jadi bersih dan segar makasih,4
